hospital,admissions,avg_billing
LLC Smith,44,23413.41
Ltd Smith,39,25727.32
Johnson PLC,37,29229.12
Smith Ltd,37,26217.19
Smith Group,36,22406.42
Smith PLC,36,28595.12
Johnson Inc,34,27479.73
Smith Inc,33,23401.71
Group Smith,32,28217.99
Smith LLC,32,22865.11
LLC Johnson,30,27214.61
PLC Williams,30,24394.93
PLC Smith,29,23922.77
Brown Inc,28,28225.81
Inc Smith,27,28546.22
Inc Brown,27,32517.09
Johnson Group,27,27201.13
Inc Johnson,26,22589.68
Group Johnson,26,27772.3
Inc Jones,25,32197.46
Williams LLC,25,28407.85
Brown LLC,24,23744.55
LLC Williams,23,29317.11
Johnson LLC,23,27084.46
Inc Williams,23,31162.5
Brown PLC,22,27801.03
Group Brown,22,23016.33
Williams Group,22,28987.16
Miller Inc,22,31535.81
Jones LLC,22,25165.02
Ltd Johnson,21,24559.41
Johnson Ltd,21,34735.49
Ltd Brown,21,28237.34
Brown Group,21,25189.93
Jones Ltd,21,25909.65
Jones Group,20,28072.29
Inc Jackson,20,25000.83
Group Davis,20,27665.86
LLC Garcia,19,25315.64
Group Jones,19,21018.99
Williams PLC,19,27637.22
Miller PLC,19,23623.42
Williams Inc,19,26875.49
Brown Ltd,19,24216.32
Inc Rodriguez,19,29399.95
Williams Ltd,19,29392.86
LLC Brown,18,25007.27
Ltd Williams,18,20701.2
Ltd Jones,18,31061.38
Moore LLC,18,23971.32
Wilson Group,18,24006.67
Miller Ltd,18,25439.44
PLC Rodriguez,18,31009.76
Inc Miller,18,21230.44
PLC Brown,18,26691.0
PLC Davis,17,18171.43
Jones Inc,17,27817.57
Anderson PLC,17,19542.57
Wilson PLC,17,23588.21
LLC Jones,17,25621.05
Group Williams,17,21789.17
PLC Johnson,16,27337.09
Davis PLC,16,24265.87
Martin Inc,16,27899.47
Miller LLC,16,28840.42
PLC Jones,16,20323.14
Garcia Group,16,28279.45
White Inc,16,27641.62
Ltd Miller,15,29791.64
Taylor Ltd,15,22859.83
Anderson Group,15,18925.96
Davis Group,15,27994.6
Rodriguez Ltd,15,23395.25
Lopez PLC,15,29771.99
Ramirez Group,15,31924.79
PLC Thomas,15,23962.55
Group Garcia,15,26080.92
Thomas LLC,15,25461.66
Hill Inc,15,19623.89
Inc Taylor,15,24156.23
Davis Inc,15,27977.02
Miller Group,14,27021.13
Green PLC,14,28879.93
Inc Gonzalez,14,22390.41
Martinez Inc,14,24198.71
Rodriguez Inc,14,28423.36
Davis Ltd,14,17257.49
PLC Miller,14,27709.78
and Sons Williams,14,23241.05
Hernandez Ltd,14,29716.23
Jones PLC,14,22725.42
LLC Davis,14,28065.95
Inc Nelson,14,21976.64
Group Miller,14,33137.91
Ltd Hernandez,14,25057.55
PLC Thompson,14,27238.82
Inc Hernandez,14,25275.41
Rodriguez PLC,13,19936.77
and Sons Smith,13,22723.98
Inc Davis,13,21676.16
Sons Williams and,13,22196.91
Wilson LLC,13,29029.72
Johnson Sons and,13,27245.48
Sons and Johnson,13,24602.32
LLC Rodriguez,13,23826.91
LLC Clark,13,32063.4
Thomas and Sons,13,22616.1
Anderson LLC,13,19839.52
Sons and Brown,13,28682.91
Carter Inc,13,21894.1
Inc Lee,13,15175.69
Inc Lopez,13,20707.07
Clark PLC,13,29037.82
Anderson Inc,13,21593.13
Inc Harris,13,24105.4
PLC Lewis,13,22645.8
Moore Inc,13,27869.38
LLC Moore,13,25088.17
Group Hernandez,13,23216.37
Rodriguez Group,12,32083.15
PLC Anderson,12,20416.28
Campbell LLC,12,20584.35
Hernandez PLC,12,25489.86
Robinson Inc,12,18768.76
Group Anderson,12,26329.26
Wilson Ltd,12,25789.17
Ltd Martin,12,26141.11
Inc Garcia,12,31621.97
Ltd Wright,12,26644.62
Martin Group,12,28611.91
Group Rodriguez,12,29850.04
LLC Martinez,12,23086.28
Garcia Inc,12,26763.56
Phillips Ltd,12,20107.47
Jones Sons and,12,31205.01
Stone Ltd,12,31891.62
Ltd Jackson,12,29150.74
Clark LLC,12,22421.09
Garcia PLC,12,35695.55
Ltd Clark,11,28306.04
PLC Lopez,11,19427.19
Phillips LLC,11,24475.72
Ltd Lewis,11,29381.61
LLC Wilson,11,31190.71
Sons Smith and,11,16898.51
LLC Taylor,11,24915.25
Thompson Ltd,11,29639.3
PLC Garcia,11,24775.4
Ltd Thompson,11,29833.21
Thompson PLC,11,29409.12
Inc Moore,11,33329.31
Martin PLC,11,30704.97
Group Lewis,11,24241.17
Moore PLC,11,24360.58
Group Lopez,11,21849.43
James Ltd,11,18875.58
Inc Wright,11,19953.82
Lopez Group,11,31331.15
Garcia LLC,11,24729.71
Lee PLC,11,26157.21
Ltd Anderson,11,26098.9
Harris Group,11,30586.44
Group Clark,10,23696.61
Sanchez Group,10,27977.7
PLC Jackson,10,36176.97
Inc Anderson,10,38314.55
Martinez Ltd,10,23134.75
Smith Sons and,10,28714.27
Inc Martin,10,30871.89
LLC Miller,10,12588.2
Lewis Ltd,10,28969.02
Mitchell Inc,10,20381.45
Ltd Lee,10,29530.23
Ltd Davis,10,34306.75
PLC Green,10,31036.2
Inc Perez,10,22995.06
White Group,10,19354.59
Group Walker,10,21122.54
LLC Anderson,10,21872.06
Ltd Moore,10,17844.92
Group Martinez,10,39189.83
Thomas Inc,10,30155.57
Ltd Lopez,10,26160.7
King Ltd,10,31605.8
Inc Robinson,10,27381.34
Martin LLC,10,24166.79
LLC Hernandez,10,24002.64
PLC Moore,10,29231.44
Ltd Martinez,10,32053.7
Murphy Inc,10,21534.8
PLC Wright,10,23657.07
PLC Harris,10,27941.83
LLC Lopez,10,24456.81
Inc Martinez,10,18564.24
Group Gonzalez,10,19770.61
Gonzalez Inc,10,20375.51
LLC White,9,21120.87
Lee LLC,9,25773.64
Gilbert Ltd,9,30612.22
Ltd Thomas,9,25092.33
Lee Group,9,21317.77
Ltd Hall,9,24597.69
Walker Ltd,9,25180.9
Turner Group,9,34528.22
Inc Wilson,9,18952.42
PLC White,9,22938.13
LLC King,9,23114.3
Wilson Inc,9,19723.78
Ramirez PLC,9,26312.47
Ltd Nelson,9,25538.49
PLC Wilson,9,34628.4
Robinson Group,9,20965.39
Lopez Inc,9,22276.46
Group Cook,9,32611.74
and Sons Johnson,9,21598.2
LLC Flores,9,26538.77
PLC Adams,9,17554.04
Inc Clark,9,32635.96
Martinez PLC,9,24923.14
Group Thompson,9,21527.86
Moore Group,9,16562.94
Hall LLC,9,28098.53
PLC Hill,9,14075.14
LLC Martin,9,23233.53
and Jones Sons,9,24274.04
Green Inc,9,19393.38
Allen Group,9,29337.75
Thompson Group,9,16441.45
Sons and Smith,9,26692.53
Taylor Inc,9,17782.16
Jackson LLC,9,14888.02
Martin Ltd,9,21954.93
Young Ltd,9,16020.5
Gonzalez LLC,9,21541.63
Cook Group,9,29003.78
Carter Group,9,16071.22
Sons Miller and,9,27610.64
Ward PLC,9,33607.24
Smith and Sons,9,17397.79
Sons Brown and,9,14002.75
Ltd Taylor,9,30253.59
LLC Perez,9,28455.25
Inc Thomas,9,21735.6
Jackson Ltd,9,22384.65
Perez Group,9,25743.65
Group Nelson,9,16422.35
Ltd Harris,9,21481.83
Walker PLC,9,30155.95
Group Green,9,24883.61
Lopez LLC,9,23546.08
Jackson PLC,9,23877.4
Jackson Inc,9,32011.38
Ltd Porter,9,24818.63
Inc Roberts,9,23145.71
Group Harris,8,25529.6
Adams Group,8,27429.11
Clark Ltd,8,27026.22
Roberts Ltd,8,20217.33
Harris Inc,8,21873.04
PLC Ross,8,35735.03
Group Wright,8,24299.99
Sons Thomas and,8,25111.05
Johnson-Johnson,8,19240.64
and Johnson Sons,8,22767.71
LLC Harris,8,34423.47
Taylor PLC,8,29147.27
Ltd Campbell,8,32948.82
Harris LLC,8,35597.32
LLC Jackson,8,22771.45
Gonzalez Group,8,28427.35
Hill Group,8,26176.78
Allen Ltd,8,27824.28
LLC Thompson,8,21715.1
Simmons LLC,8,30030.7
Allen Inc,8,25992.33
Davis LLC,8,23491.2
LLC Hill,8,22688.13
Adams LLC,8,24422.18
PLC Allen,8,24261.61
and Smith Sons,8,20215.65
PLC Carter,8,23416.74
Hall Group,8,30900.15
Inc Evans,8,24350.06
Harris PLC,8,28775.78
Sanchez Inc,8,28624.3
Inc Scott,8,33932.15
Cook Ltd,8,22454.36
Lee Sons and,8,27027.72
PLC Bell,8,26573.38
Moore Ltd,8,32788.13
Shaw LLC,8,39113.2
LLC Allen,8,25144.2
Sons and Taylor,8,26608.16
Inc Carter,8,30205.23
Gonzalez Ltd,8,28922.74
Rodriguez and Sons,8,20245.96
Jackson Group,8,22485.99
White and Sons,8,34004.81
Lee Ltd,8,23894.7
Wallace LLC,8,24235.1
Gibson LLC,8,24276.24
Johnson-Smith,8,22907.43
Alvarez Ltd,8,36037.32
Sons Johnson and,8,30802.83
Nelson PLC,8,22424.99
Clark Inc,8,21619.9
Allen PLC,8,23231.68
Ltd Myers,8,34586.81
PLC Cook,8,27019.47
PLC Taylor,8,28003.58
Patel LLC,8,28386.24
PLC Reyes,8,20159.84
Hall PLC,8,24047.58
and Martinez Sons,8,19213.76
Reyes PLC,8,16327.56
Lewis Inc,7,25339.58
Group Reed,7,24990.97
Inc Ross,7,22375.22
Long LLC,7,32920.3
LLC Ward,7,27745.81
Jones-Rodriguez,7,29507.11
Ltd Adams,7,15672.05
Inc Ellis,7,17057.27
Group Hunt,7,17215.34
Phillips Inc,7,32135.85
PLC Hernandez,7,25074.46
Inc Phillips,7,29436.16
Inc Adams,7,29729.4
Smith-Wilson,7,26355.04
King Inc,7,25437.88
Henderson LLC,7,18377.81
Group Stewart,7,29180.56
Baker PLC,7,20544.77
Inc Butler,7,25844.75
Group Simpson,7,27934.36
Wiley LLC,7,20929.57
Smith-Davis,7,25561.19
Ltd Peterson,7,23568.07
Thompson Sons and,7,24121.9
Ltd Phillips,7,28406.48
PLC Shaw,7,12951.9
Stewart Group,7,24722.07
Griffin PLC,7,23090.08
Ross Group,7,18783.24
Murphy LLC,7,30269.46
LLC Lee,7,30642.95
Group Allen,7,19760.38
Inc White,7,28463.58
PLC Wells,7,33451.76
Ltd Walker,7,16511.56
LLC Howard,7,25848.71
PLC Cruz,7,21006.63
Cruz Inc,7,33220.59
Ltd Reed,7,32167.41
Group Young,7,30469.58
Taylor LLC,7,12534.41
Group Taylor,7,23212.26
Inc Price,7,30537.43
Gomez Inc,7,25665.88
Cook Inc,7,31692.59
Inc Morales,7,23514.01
Inc Harper,7,29597.98
Williams-Garcia,7,17792.48
LLC Gonzalez,7,27589.8
White LLC,7,27355.83
Coleman Group,7,32725.11
Torres Group,7,15765.91
LLC Lewis,7,32516.04
Group Bennett,7,24317.03
PLC Roberts,7,27560.85
White Ltd,7,29972.15
Sons and Miller,7,20492.13
Walker Group,7,29129.32
Rodriguez LLC,7,21442.38
Gutierrez Inc,7,14777.65
LLC Freeman,7,26351.26
Ltd Allen,7,32797.09
PLC Martin,7,23150.65
PLC Gonzalez,7,29081.92
Anderson Ltd,7,20067.07
Ltd Murphy,7,30741.17
